会社名,資本金,売上高,代表者,ホームページ,メールアドレス,連絡先
"リクルートトップパートナー合同募集 事務局",,,,,rtp_saiyo@e-recruit.jp,"■□━━━━━━━━━━━━━━━━━━━━　リクルートトップパートナー合同募集事務局　Tel：03-6258-0753 (受付時間：平日10:00～18:00)　Mail：rtp_saiyo@e-recruit.jp ━━━━━━━━━━━━━━━━━━━━□■※採用・選考は各社で行います。※各社所在地は上記を参照して下さい。"
株式会社BBネットワークス,1億6960万円（準備金7980万円を含む）,20億円（グループ連結）※2015年3月期実績28億円（グループ連結）※2016年3月期実績,代表取締役社長　古賀篤史,http://www.bb-nws.jp,k.kusumoto@bizsup.co.jp,"〒839-0801福岡県久留米市宮ノ陣4-29-11 久留米ビジネスプラザ4階TEL：0942-36-3016(久留米）　　　 092-432-1061（博多）E-mail：k.kusumoto@bizsup.co.jp採用担当：永田・楠本http://www.bb-nws.jp/"
北陸リトレッド株式会社,4200万円,67億円（2015年4月期※グループ合計）,取締役社長　三村　健二,http://www.hrt-co.jp,,"福井県越前市家久町24-3-1採用担当　総務部　高橋TEL:0778-24-1048ホームページ http://www.hrt-co.jp"
株式会社サンベルクスホールディングス,4.5億円,551億円（2015年2月期）,"代表取締役社長　鈴木 秀夫",http://www.sunbelx.com,,〒121-0061東京都足立区花畑4-11-14採用担当TEL:03-6706-4222jinji@sunbelx-r.com■会社HPhttp://www.sunbelx.com/■本社アクセス東武伊勢崎線「竹ノ塚」駅より　・竹15系統（保木間中通り経由）　　「花畑団地」行き、「花畑四丁目」下車　バス15分　徒歩3分　・竹16系統（林松寺経由）　　「花畑団地」行き、「花畑三丁目」下車　バス15分　徒歩2分東京メトロ千代田線「綾瀬」駅より　東武バス「花畑団地」行き「花畑三丁目」下車　　バス30分、徒歩2分
株式会社トレジャー・ファクトリー,3億6900万円,"※創業以来22連続増収中！ 133億2500万円(2017 年2月期実績)※対前年比109.0％122億1600万円（2016年2月期実績）※対前年比114.3％ 106億8200万円（2015年2月期実績）※対前年比117.0％ 91億2900万円（2014年2月期実績）※対前年比114.3％ 79億8400万円（2013年2月期実績）※対前年比110.8％ 72億 500万円（2012年2月期実績）※対前年比113.5％ 63億4700万円（2011年2月期実績）※対前年比121.3％ 52億3000万円（2010年2月期実績）※対前年比123.2％ 42億4200万円（2009年2月期実績）※対前年比125.8％ 33億7200万円（2008年2月期実績）※対前年比123.1％",代表取締役社長　野坂英吾,http://www.treasurefactory.co.jp,shinsotsu@treasure-f.com,"〒101-0022 東京都千代田区神田練塀町３-３　大東ビル2階会社案内HP：http://www.treasurefactory.co.jp/新卒採用サイト：http://www.treasurefactory.co.jp/recruit/graduate/新卒採用フェイスブック：https://www.facebook.com/TreFac.shinsotsu/担当: 杉之原　創紀、中西　哲朗E-mail:shinsotsu@treasure-f.com※お問い合わせは上記のアドレスまでご連絡下さい。"
イコマ北海道株式会社,2000万円,非公開,代表取締役　大嶋　暢昭,http://ikoma-h.co.jp/,,"イコマ北海道株式会社〒065-0026　札幌市東区北26条東21丁目3-1 採用担当 :タニモト、イケダ電話番号：011-787-7728"
"サンプラグループ（サンプランニング：アーバンプロジェクト：ミカ／ファンクション：アド エフ・ティ・ビィ）",,,,http://www.sunpla-group.com,,エントリー・お問合せ先は各社とも「株式会社サンプランニング　神戸本社」にて受け付けます。また、採用・選考は各社にて行います。〒650-0024神戸市中央区海岸通1-2-18　SPGビルTEL:078-333-0900新卒採用係【URL】http://www.sunpla-group.com
エンド商事株式会社,2000万円,211億円（2016年2月期）,代表取締役社長遠藤　勉,,,"〒544－0015大阪市生野区巽南2-1-6エンド商事(株)　管理部採用担当 黒川（くろかわ）TEL:06－6758－1281"
株式会社フォーミュレーションI.T.S.,700万円,"22億8000万円（フォーミュレーショングループ） ※2015年実績","代表取締役社長　今別府 亮",http://www.f-its.co.jp,,"◇*◆*◇*◆*◇*◆*◇*◆*◇*◆*◇*◆*◇*◆*◇*◆*◇*◆*◇*◆*◇　株式会社フォーミュレーションI.T.S.　〒150-0011　東京都渋谷区東1-26-20 東京建物東渋谷ビル B1F　TEL：03-5843-3660　FAX：03-3400-3706　URL：http://www.f-its.co.jp/　※リクルートサイトも開設！　　https://www.facebook.com/tv.navi.its/　　◇*◆*◇*◆*◇*◆*◇*◆*◇*◆*◇*◆*◇*◆*◇*◆*◇*◆*◇*◆*◇"
株式会社エムデジ,9500万円,"-----------------------------------------□16期連続売上増収中-----------------------------------------第1期 （平成11年3月期）実績：1億5800万円第2期 （平成12年3月期）実績：5億3300万円第3期 （平成13年3月期）実績：4億9000万円第4期 （平成14年3月期）実績：8億1300万円第5期 （平成15年3月期）実績：12億7800万円第6期 （平成16年3月期）実績：16億1000万円第7期 （平成17年3月期）実績：17億100万円第8期 （平成18年3月期）実績：22億9000万円第9期 （平成19年3月期）実績：27億1300万円第10期（平成20年3月期）実績：31億2100万円第11期（平成21年3月期）実績：31億3600万円第12期（平成22年3月期）実績：33億400万円第13期（平成23年3月期）実績：33億3000万円第14期（平成24年3月期）実績：40億4700万円第15期（平成25年3月期）実績：55億7700万円第16期（平成26年3月期）実績：69億7500万円第17期（平成27年3月期）実績：71億7700万円第18期（平成28年3月期）実績：75億6880万円第19期（平成29年3月期）実績：92億4363万円",代表取締役社長　佐藤　正嗣,http://www.m-digi.co.jp,,"株式会社エムデジ採用担当　相内、本間【本社住所】〒047-0152 北海道小樽市新光1丁目11番1号　パシオズ朝里ビル【TEL】0120-740-088(採用担当直通)【URL】http://www.m-digi.co.jp/"
株式会社ジャパンインターナショナル総合研究所,3000万円,20億円（2016年3月）,代表取締役　藤原壮督,,,株式会社ジャパンインターナショナル総合研究所本社：京都市右京区西京極西池田町9番地5　西京極駅前ビル6階TEL：075-316-3520人事課　採用担当
"株式会社トーコン ホールディングス",1000万円,61億340万円（2016年9月末実績）※取扱高,代表取締役　原田直史,http://www.tokon.co.jp,,"－－－－－－－－－－－－－－－－－－－－－仕事はワクワク楽しく〒103-0014　東京都中央区日本橋蛎殻町1-33-11　味岡蛎殻町ビル4F採用プロジェクトチーム　新卒採用担当とことん、ビジョンへ。－－－－－－－－－－－－－－－－－－－－－●03-5695-0015●URL　http://www.tokon.co.jp●採用facebook URL　http://www.facebook.com/tokon.saiyou"
株式会社エス・ケイ通信,3000万円,78億円（2016年9月期）,代表取締役　廣瀬勝司,,,"〒160-0023　東京都新宿区西新宿4-15-3　住友不動産西新宿ビル3号館3階TEL：0120-937-391/03-6840-0990 新卒採用担当：出口"
KCVコミュニケーションズ株式会社,5500万円,6億円(2017年3月実績),"代表取締役社長　中島 靖和",,,〒877-0014大分県日田市本町6番3号TEL:097-327-5001採用担当：斎藤・吉本
株式会社インポート・プラス,90百万円,30億円,"代表取締役社長 河村 隆平",,,〒063-0006　札幌市西区山の手6条1丁目3-1株式会社インポート・プラス　本社　管理部宛Tel：011-640-1777
オーケー株式会社,28億6800万円," 3072億円(2016年3月実績) 2820億円(2015年3月実績) 2626億円(2014年3月実績)　　2501億円(2013年3月実績)　　2358億円(2012年3月実績)　　2305億円(2011年3月実績）　　2156億円(2010年3月実績）　　1921億円(2009年3月実績）　",代表取締役会長　　飯田　勧代表取締役社長　　二宮　涼太郎,,jinji@okco.jp,〒220-8755神奈川県横浜市西区みなとみらい6-3-6みなとみらいビルオーケー株式会社　人事総務部　廣田・古川・韮塚・川澄【直通】　　0120-308-387【e-mail】　jinji@okco.jp
有限会社ネコモト,300万円,1億5000万円（2016年8月期）,取締役　猫本　善弘,,,"有限会社ネコモト〒732-0057広島県広島市東区二葉の里2-7-13TEL: 082-263-0202FAX: 082-263-0203"
"コネクシオ株式会社 　",2778百万円（2017年3月31日現在）,2600億（2017年3月期）,代表取締役社長　井上裕雄,,fresh@conexio.co.jp,コネクシオ株式会社【所在地】〒160-6137東京都新宿区西新宿8-17-1住友不動産新宿グランドタワー37F【新卒採用担当】お問い合わせはメールで受け付けております。E-Mail　：　fresh@conexio.co.jp
株式会社メディアステーション,1000万円,23億円（2014年9月期）▼28億円（2015年9月期）▼35億円（2016年9月期）,代表取締役　社長鈴木　善正,,,担当／人事部人事課　友部・橋本お問い合わせはこちらまで！〒980-6124　宮城県仙台市青葉区中央一丁目3番1号AER24階TEL：070-6622-5566
株式会社守半海苔店,1000万円,１億４０００万円（２０１７年１０月時）,小谷　千砂子,http://www.morihan.jp/,info@morihan.jp,株式会社守半海苔店〒143-0016東京都大田区大森北1-29-3採用担当　管理課　的場TEL：03-3761-4077Email：info@morihan.jp
株式会社モバイルコム,1000万円,105億円（2015年度3月期）,"代表取締役社長　所谷 直人",http://www.mobilecom,,"■本社〒790-0942愛媛県松山市古川北3丁目9-24ＴＥＬ 　 ： 089-926-3030 担当者 ： 総務部　植田・日野ＨＰ　： http://www.mobilecom.co.jp/"
株式会社尾東,2000万円,11億円（2015年11月実績）11億円（2014年3月実績）9億円（2013年3月実績）8億8000万円(2012年3月実績）,代表取締役社長　人見靖志,http://www.bbth.co.jp,,〒486-0912愛知県春日井市高山町1-8-4/本社ホームページ：http://www.bbth.co.jp/※会社ホームページより、「和わ」「結」「花舎」「kisste」へのリンクがあります。採用受付はアドバHRソリューションズが行います。TEL:052-263-8655
ゲンキー株式会社,39億9638万円（2017年12月),,"代表取締役社長　藤永 賢一　　　プロフィール　　趣味：　立地調査（休日も他店の見学に出かけてしまいます）　　好きな言葉：　一生一回一ブランド",,saiyo@genky.co.jp,"-採用センター-〒910－0005　福井県福井市大手三丁目4番1号　（福井放送会館3階）電話番号：0776-43-9080Eメール：saiyo@genky.co.jp-戦略本部-〒910-0332 福井県坂井市丸岡町下久米田38-33電話番号：0776-67-5240(代表)採用チーム：北陸　宮川　増子　　　　　　　東海　脇阪　小島　加藤　北村採用責任者：人材開発部長　桑野"
株式会社サンキョウ,700万円,289500000(平成28年度）,代表取締役　五十嵐広大,http://www.sunkyo.jp/,,株式会社サンキョウ埼玉営業所〒338-0823埼玉県さいたま市桜区栄和6-2-8採用担当TEL：048-799-3927　FAX：048-799-3928
株式会社ロピア,1000万円,954億円（2017年2月期実績）,"代表取締役社長　高木 勇輔",,,〒251-0872神奈川県藤沢市立石3丁目3157番地TEL:0466-81-9222（人事・総務担当）FAX:0466-83-4555
株式会社シモヤ,3000万円,20億円（2016年度実績）,代表取締役　下谷　敏博,http://www.shimoya.jp/,info@shimoya.jp,"株式会社シモヤ〒474-0047愛知県大府市宮内町4丁目381番地採用担当：浅田TEL：0562-48-1488（受付時間9：00～17：00 土曜日・日曜日・祝日・年末年始ほか、当社休業日除く）E-mail：info@shimoya.jp"
"株式会社Joker Enterprise",,,代表取締役　辻田　浩一,,,"株式会社Joker Enterprise〒651-1351 兵庫県神戸市北区八多町中883-1　※2014年10月に本社を拡張移転しました。TEL：078-907-5091採用担当：池脇（イケワキ）"
株式会社西日本建設新聞社,1000万円,1億7000万円（2016年11月実績）,代表取締役　千原　竹雄,Tender-Nethttp://www.wjc-news.co.jp/,,"株式会社西日本建設新聞社〒862-0918熊本県熊本市東区花立6-7-53 採用担当TEL：096-368-4222(代表）"
株式会社フレックス,3000万円,＜広告取扱高実績＞18億1900万円（2016年9月期/対前年比124%）19億6800万円（2017年9月期/対前年比108%）,代表取締役　渡邉良二,http://www.f-beans.co.jp,flexjinji@f-beans.co.jp,"■■■お問い合わせはお気軽に！■■■-------------------------------------------株式会社フレックス（リクルート エリアTOPパートナー）〒370-0015　群馬県高崎市島野町1140TEL：027-350-1411FAX：027-353-3522E-MAIL：flexjinji@f-beans.co.jp採用担当 / 山岸・吉田★当社HP＆リクルーティングページもぜひご覧ください！【HP】http://www.f-beans.co.jp/【リクルーティングページ】http://www.f-beans.co.jp/flex/recruit2018/"
株式会社東京モバイルネットワーク,6000万円,40億円（2017年3月）,代表取締役社長　白井　武三,,,〒140-0001　東京都品川区北品川3-6-2　品川ＭＳビル4Ｆ03-3458-8143
"株式会社 菱和テレコム",3000万円,20億円（2017年3月実績）,"代表取締役社長　大久保 博史",,,"〒464-0850愛知県名古屋市千種区今池3-5-13新卒採用担当：熊須TEL:　　 052-732-7733e-mail:　telecom@ryowa.co.jp"
株式会社バローホールディングス,119億1600万円(2015年3月現在),グループ連結　4974億円(2016年3月期実績),代表取締役社長　田代正美,http://valorholdings.co.jp,saiyou@valor.co.jp,"〒450-0003愛知県名古屋市中村区名駅南1-16-21名古屋三井物産ビル３階　バローホールディングス名古屋本部総務人事部　佐藤　康臣電話 052-563-8601ホームページ　http://valorholdings.co.jp/E-mail saiyou@valor.co.jp"
株式会社マルハチ,4800万円,567億円（2017年2月期）520億円（2016年2月期）465億円（2015年2月期）413億円（2014年2月期）389億円（2013年2月期）378億円（2012年2月期）353億円（2011年2月期）297億円（2010年2月期）288億円（2009年2月期）250億円（2008年2月期）●21年連続成長中です。,代表取締役社長　栗花正雄,http://www.supermaruhachi.co.jp,,"〒651-0064 神戸市中央区大日通1丁目2-18TEL:078-232-0839／牧原、塩口採用HP●http://www.supermaruhachi.co.jp/recruit/index.html■本社交通／ＪＲ「灘駅」下車、北西に徒歩5分 ---------------------------------------------※2015年、本社が上記所在地に移転しました---------------------------------------------"
株式会社ワイエスシー,4000万円,316億8707万円（2016年度実績）,代表取締役　小泉　稔,http://www.ysc.jp/,service_info@ysc.jp,"株式会社ワイエスシー〒220-6213神奈川県横浜市西区みなとみらい 2-3-5　クイーンズタワー　C-13F採用担当TEL:045-227-5711　　FAX:045-227-5747E-mail：service_info@ysc.jp"
株式会社あとらす二十一　【総合職コース】,1億円,,代表取締役　井上恒郎,http://at21.jp,jinji@at21.jp,"〒163-0428東京都新宿区西新宿2-1-1新宿三井ビル28F株式会社あとらす二十一担当/人事部　採用担当【TEL】 　 03-6832-2121（代表）【MAIL】 jinji@at21.jp【URL】　　http://at21.jp/"
株式会社ブランドオフ,3億7257万円,200億円（2015年8月期）◎売上高推移--------------------127億5000万円（2014年8月期）120億1000万円（2013年8月期）116億6700万円（2012年8月期）102億1500万円（2011年8月期）,代表取締役社長　安山　勉,,t.katsumata@brandoff.co.jp,"株式会社ブランドオフ　〒104-0061東京都中央区銀座6-16-12 丸高ビル9F新卒採用担当　TEL: 03-3545-3439Eメール:　t.katsumata@brandoff.co.jp"
MXモバイリング株式会社,10億円,2604億円(2017年3月期),代表取締役社長　阿部　達也,,MXM-saiyo@mxmobiling.com,〒135-0061東京都江東区豊洲3-2-24豊洲フォレシアMXモバイリング株式会社　新卒採用担当E-Mail:MXM-saiyo@mxmobiling.com※お問い合わせはE-mailで受け付けております。
株式会社　タチヤ,3000万円,266億円（2017年3月実績）,"代表取締役　森 克幸（1961生）",,,〒460-0002　名古屋市中区丸の内1-10-29　白川第8ビル7階TEL:052-201-5155　人事部　採用担当　望月a.mochizuki@tachiya.co.jp
株式会社ACNモバイル,900万円,220億(グループ計　2015年2月実績),"代表取締役社長　田積 毅",http://acn-mobile.co.jp,,"株式会社ＡＣＮモバイル〒550-0004大阪市西区靱本町1-4-17 ACN信濃橋ビル9F（本社）TEL／06-6446-2822採用担当／安保佑紀　四方悠喜ＨＰ■http://acn-mobile.co.jp/"
株式会社BANKANわものや,1億円※親会社株式会社ベルーナ（東証一部上場）100％出資子会社,"73億0000万円（2017年3月予測）65億7479万円（2016年3月実績）　※＋23％の成長53億4800万円（2015年3月実績）　※＋9％の成長 49億0400万円（2014年3月実績）　※＋9％の成長 44億9260万円（2013年3月実績）　※＋16％の成長 38億6440万円（2012年3月実績）　※＋14％の成長 33億8910万円（2011年3月実績） ※創業以来連続増収達成中！",代表取締役／形部幸裕,→http://www.bankan.co.jp/index.html,saiyou@bankan.co.jp,〒460-0008愛知県名古屋市中区栄2丁目11番30号セントラルビル9ＦTEL：052-728-1080／FAX：052-728-1082Mail：saiyou@bankan.co.jp採用担当：森岡・齊藤・福井・柘植
株式会社カイショー,1000000円,6億8千万円（2016年度実績）,代表取締役　中山裕介代表取締役　田中達也,http://www.kaisyo.co.jp/,info@kaisyo.co.jp,株式会社カイショー〒813-0002福岡県福岡市東区下原4丁目18-33電話：092-410-1877E-mail:info@kaisyo.co.jp
株式会社千葉薬品（総合職）,4億9100万円,456億円（2016年3月期）,代表取締役社長　神崎　彰道,,,株式会社千葉薬品　人事部採用担当　吉田・田辺〒260-8564　千葉県千葉市中央区問屋町1-35　ポートサイドタワー28階ＴＥＬ：0120-973-760（フリーコール）、043-248-0030（人事部直通）Ｍａｉｌ：saiyo@yacs.jp
姫路魚類株式会社,1億5000万円,102億円（平成29年3月期実績）,代表取締役　小河　智,http://www.himeuo.co.jp/index.html,,姫路魚類株式会社〒670-0966兵庫県姫路市延末295番地総務部採用担当　杉本TEL：079-221-6071
株式会社ニチコム,1000万円,32億2000万円（2016年9月実績）,代表取締役社長　野口武史,http://www.nichi-com,,株式会社ニチコム茨城県守谷市本町288-1【TEL】0297-47-8889【MAIL】recruit@nichi-com.co.jp【HP】http://www.nichi-com.co.jp/
株式会社エディオンコミュニケーションズ　,3億円,597億円（2015年3月実績）,"代表取締役社長 岡嶋 昇一",http://www.e-com,,"株式会社エディオンコミュニケーションズ〒464-8646愛知県名古屋市中村区烏森町4丁目82番地フリーダイヤル　0120-314-517 人材開発部リクルート特設WEBサイトURL：http://www.e-coms.ne.jp/recruit/index.html"
アライ電機産業株式会社,5000万円,155億円（2016年11月期）149億円（2015年11月期）140億円（2014年11月期）,"代表取締役社長 新井充治",,kanehara@araidenki.com,"アライ電機産業株式会社ビジネスセンター：〒351-0101 埼玉県和光市白子1-3-40採用・育成課　金原　葉子TEL：048-458-7003Email：kanehara@araidenki.com"
株式会社サトウ,5000万円,67億9300万円（2016年3月期）63億1400万円（2015年3月期）60億4100万円（2014年3月期）,代表取締役社長　佐藤進,,satoh-saiyou@satoh.co.jp,"〒186-0004東京都国立市中2-4-3株式会社サトウ総務部採用担当TEL　 042-576-0561FAX 　042-576-1390Mail　satoh-saiyou@satoh.co.jp　"
株式会社キールスタッフィング,3000万円,非公開,"川口 浩也代表の川口浩也は、業界内でも有名なプロデューサーの一人です。 実績豊富で、有名バラエティ番組を数多く手がけてきました。 スタッフに対しては、とても気さくに接するので相談しやすく、頼りになる存在です。 そんな代表と一緒に学びながら仕事ができるので、一流のディレクター・プロデューサーを目指せる、最高の環境ですよ。",http://www.o-keel.co.jp,,"〒105-0004　東京都港区新橋3-15-8　精工ビル4F 　　　03-6459-0551／採用担当HP：http://www.o-keel.co.jp/staffing"
あすとろ出版株式会社,"8000万円 (持株比率　東京書籍株式会社100％)","2億4900万円 (2016年度実績)",代表取締役社長　畑和吉,http://www.asutoro.co.jp/,kanribu@asutoro.co.jp,あすとろ出版株式会社〒114-0005東京都北区栄町48-23東書文庫管理営業部人事担当宛てTEL：03-3911-1461E-mail：kanribu@asutoro.co.jp
アーク株式会社,8000万円,32億6500万円（2016年9月期）,代表取締役社長　大泉　毅,http://www.arkgroup.jp/,saiyo@ark-net.co.jp,アーク株式会社〒020-0871岩手県盛岡市中ノ橋通2-8-2モバイル部門　採用担当TEL：019-622-2211(代)Email：saiyo@ark-net.co.jp
トラコム株式会社,5000万円,,"代表取締役社長 坂本 秀美",http://www.tracom,,トラコム株式会社人事採用チーム　安藤東京都港区赤坂1-12-32　アーク森ビル13FTEL　0120-082-033　　e-mail　saiyo@tracom.co.jpURL　http://www.tracom.co.jp/＜交通アクセス＞　【本社】　東京メトロ南北線「六本木一丁目」駅　3番出口より徒歩3分　【千葉支社】　JR「千葉」駅西口直結　　　　　　　　　または千葉都市モノレール「千葉」駅・京成線「京成千葉」駅より徒歩3分　【大阪支社】　JR・地下鉄長堀鶴見緑地線・京阪本線「京橋」駅より徒歩5分
株式会社グローバルユニット,8000万円※資本準備金含む,18億円（2015年　グループ計）,"代表取締役　小林 昌良",,,"株式会社グローバルユニット〒389-0802　長野県千曲市内川125-3電話：026-275-6101担当：大田（オオタ） "
