会社名,代表者,ホームページ,メールアドレス,電話番号,資本金,売上高,連絡先
"リクルートトップパートナー合同募集 事務局",,,rtp_saiyo@e-recruit.jp,03-6258-0753,,,"■□━━━━━━━━━━━━━━━━━━━━　リクルートトップパートナー合同募集事務局　Tel：03-6258-0753 (受付時間：平日10:00～18:00)　Mail：rtp_saiyo@e-recruit.jp ━━━━━━━━━━━━━━━━━━━━□■※採用・選考は各社で行います。※各社所在地は上記を参照して下さい。"
株式会社BBネットワークス,代表取締役社長　古賀篤史,http://www.bb-nws.jp,k.kusumoto@bizsup.co.jp,0942-36-3016,1億6960万円（準備金7980万円を含む）,20億円（グループ連結）※2015年3月期実績28億円（グループ連結）※2016年3月期実績,"〒839-0801福岡県久留米市宮ノ陣4-29-11 久留米ビジネスプラザ4階TEL：0942-36-3016(久留米）　　　 092-432-1061（博多）E-mail：k.kusumoto@bizsup.co.jp採用担当：永田・楠本http://www.bb-nws.jp/"
北陸リトレッド株式会社,取締役社長　三村　健二,http://www.hrt-co.jp,,0778-24-1048,4200万円,67億円（2015年4月期※グループ合計）,"福井県越前市家久町24-3-1採用担当　総務部　高橋TEL:0778-24-1048ホームページ http://www.hrt-co.jp"
株式会社サンベルクスホールディングス,"代表取締役社長　鈴木 秀夫",http://www.sunbelx.com,,03-6706-4222,4.5億円,551億円（2015年2月期）,〒121-0061東京都足立区花畑4-11-14採用担当TEL:03-6706-4222jinji@sunbelx-r.com■会社HPhttp://www.sunbelx.com/■本社アクセス東武伊勢崎線「竹ノ塚」駅より　・竹15系統（保木間中通り経由）　　「花畑団地」行き、「花畑四丁目」下車　バス15分　徒歩3分　・竹16系統（林松寺経由）　　「花畑団地」行き、「花畑三丁目」下車　バス15分　徒歩2分東京メトロ千代田線「綾瀬」駅より　東武バス「花畑団地」行き「花畑三丁目」下車　　バス30分、徒歩2分
株式会社トレジャー・ファクトリー,代表取締役社長　野坂英吾,http://www.treasurefactory.co.jp,shinsotsu@treasure-f.com,,3億6900万円,"※創業以来22連続増収中！ 133億2500万円(2017 年2月期実績)※対前年比109.0％122億1600万円（2016年2月期実績）※対前年比114.3％ 106億8200万円（2015年2月期実績）※対前年比117.0％ 91億2900万円（2014年2月期実績）※対前年比114.3％ 79億8400万円（2013年2月期実績）※対前年比110.8％ 72億 500万円（2012年2月期実績）※対前年比113.5％ 63億4700万円（2011年2月期実績）※対前年比121.3％ 52億3000万円（2010年2月期実績）※対前年比123.2％ 42億4200万円（2009年2月期実績）※対前年比125.8％ 33億7200万円（2008年2月期実績）※対前年比123.1％","〒101-0022 東京都千代田区神田練塀町３-３　大東ビル2階会社案内HP：http://www.treasurefactory.co.jp/新卒採用サイト：http://www.treasurefactory.co.jp/recruit/graduate/新卒採用フェイスブック：https://www.facebook.com/TreFac.shinsotsu/担当: 杉之原　創紀、中西　哲朗E-mail:shinsotsu@treasure-f.com※お問い合わせは上記のアドレスまでご連絡下さい。"
イコマ北海道株式会社,代表取締役　大嶋　暢昭,http://ikoma-h.co.jp/,,011-787-7728,2000万円,非公開,"イコマ北海道株式会社〒065-0026　札幌市東区北26条東21丁目3-1 採用担当 :タニモト、イケダ電話番号：011-787-7728"
"コネクシオ株式会社 　",代表取締役社長　井上裕雄,,fresh@conexio.co.jp,,2778百万円（2017年3月31日現在）,2600億（2017年3月期）,コネクシオ株式会社【所在地】〒160-6137東京都新宿区西新宿8-17-1住友不動産新宿グランドタワー37F【新卒採用担当】お問い合わせはメールで受け付けております。E-Mail　：　fresh@conexio.co.jp
"サンプラグループ（サンプランニング：アーバンプロジェクト：ミカ／ファンクション：アド エフ・ティ・ビィ）",,http://www.sunpla-group.com,,078-333-0900,,,エントリー・お問合せ先は各社とも「株式会社サンプランニング　神戸本社」にて受け付けます。また、採用・選考は各社にて行います。〒650-0024神戸市中央区海岸通1-2-18　SPGビルTEL:078-333-0900新卒採用係【URL】http://www.sunpla-group.com
エンド商事株式会社,代表取締役社長遠藤　勉,,,,2000万円,211億円（2016年2月期）,"〒544－0015大阪市生野区巽南2-1-6エンド商事(株)　管理部採用担当 黒川（くろかわ）TEL:06－6758－1281"
株式会社フォーミュレーションI.T.S.,"代表取締役社長　今別府 亮",http://www.f-its.co.jp,,03-5843-3660,700万円,"22億8000万円（フォーミュレーショングループ） ※2015年実績","◇*◆*◇*◆*◇*◆*◇*◆*◇*◆*◇*◆*◇*◆*◇*◆*◇*◆*◇*◆*◇　株式会社フォーミュレーションI.T.S.　〒150-0011　東京都渋谷区東1-26-20 東京建物東渋谷ビル B1F　TEL：03-5843-3660　FAX：03-3400-3706　URL：http://www.f-its.co.jp/　※リクルートサイトも開設！　　https://www.facebook.com/tv.navi.its/　　◇*◆*◇*◆*◇*◆*◇*◆*◇*◆*◇*◆*◇*◆*◇*◆*◇*◆*◇*◆*◇"
株式会社エムデジ,代表取締役社長　佐藤　正嗣,http://www.m-digi.co.jp,,0120-740-088,9500万円,"-----------------------------------------□16期連続売上増収中-----------------------------------------第1期 （平成11年3月期）実績：1億5800万円第2期 （平成12年3月期）実績：5億3300万円第3期 （平成13年3月期）実績：4億9000万円第4期 （平成14年3月期）実績：8億1300万円第5期 （平成15年3月期）実績：12億7800万円第6期 （平成16年3月期）実績：16億1000万円第7期 （平成17年3月期）実績：17億100万円第8期 （平成18年3月期）実績：22億9000万円第9期 （平成19年3月期）実績：27億1300万円第10期（平成20年3月期）実績：31億2100万円第11期（平成21年3月期）実績：31億3600万円第12期（平成22年3月期）実績：33億400万円第13期（平成23年3月期）実績：33億3000万円第14期（平成24年3月期）実績：40億4700万円第15期（平成25年3月期）実績：55億7700万円第16期（平成26年3月期）実績：69億7500万円第17期（平成27年3月期）実績：71億7700万円第18期（平成28年3月期）実績：75億6880万円第19期（平成29年3月期）実績：92億4363万円","株式会社エムデジ採用担当　相内、本間【本社住所】〒047-0152 北海道小樽市新光1丁目11番1号　パシオズ朝里ビル【TEL】0120-740-088(採用担当直通)【URL】http://www.m-digi.co.jp/"
株式会社エス・ケイ通信,代表取締役　廣瀬勝司,,,0120-937-391,3000万円,78億円（2016年9月期）,"〒160-0023　東京都新宿区西新宿4-15-3　住友不動産西新宿ビル3号館3階TEL：0120-937-391/03-6840-0990 新卒採用担当：出口"
株式会社ジャパンインターナショナル総合研究所,代表取締役　藤原壮督,,,075-316-3520,3000万円,20億円（2016年3月）,株式会社ジャパンインターナショナル総合研究所本社：京都市右京区西京極西池田町9番地5　西京極駅前ビル6階TEL：075-316-3520人事課　採用担当
KCVコミュニケーションズ株式会社,"代表取締役社長　中島 靖和",,,097-327-5001,5500万円,6億円(2017年3月実績),〒877-0014大分県日田市本町6番3号TEL:097-327-5001採用担当：斎藤・吉本
